gene_id,Ah11_30_21,Ah11_30_22,Ah11_34_21,Ah11_34_22,Ah17_30_21,Ah17_30_22,Ah17_34_21,Ah17_34_22,Ah2_30_21,Ah2_30_22,Ah2_34_21,Ah2_34_22,Ah4_30_21,Ah4_30_22,Ah4_34_21,Ah4_34_22,Ah8_30_21,Ah8_30_22,Ah8_34_22
ahya_s0159.g31,3,1,0,4,3,11,2,1,0,0,0,1,0,19,0,4,0,6,10
ahya_s0159.g33,126,108,22,249,35,238,110,174,186,212,84,217,62,180,25,180,16,76,105
ahya_s0159.g34,111,51,34,151,0,326,0,203,0,272,27,182,11,75,7,126,0,386,337
ahya_s0003.g2,1024,717,130,3319,682,771,651,512,168,791,332,610,455,219,129,375,525,931,1485
ahya_s0003.g13,0,8,0,12,0,21,0,34,0,14,0,10,4,20,0,9,0,7,1
ahya_s0003.g26,0,0,0,0,0,0,0,0,0,4,0,0,13,0,0,0,0,4,0
ahya_s0003.g43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ahya_s0003.g46,229,266,102,415,490,648,462,299,46,569,141,453,870,469,188,482,75,402,502
ahya_s0003.g59,0,5,0,12,4,52,0,20,0,66,0,25,20,24,3,44,0,9,4
ahya_s0003.g71,2155,709,353,1181,1997,1072,1804,783,756,1004,264,636,1476,1173,533,1209,1160,978,843
ahya_s0003.g76,940,586,146,1684,570,1065,358,362,22,1102,32,555,33,1415,128,1235,0,715,931
ahya_s0003.g91,0,9,181,9,15,0,0,5,19,0,0,5,0,2,0,0,61,0,0
ahya_s0003.g92,0,0,909,0,126,0,0,10,0,10,18,13,0,41,0,0,808,4,12
ahya_s0003.g122,2140,1075,484,1058,2868,2587,2619,905,653,2555,167,1120,1209,1832,507,832,1420,916,470
ahya_s0003.g138,5692,3696,1338,5080,5365,4920,4892,2435,614,4101,1732,2915,4304,5093,1911,5094,1012,5167,3664
ahya_s0003.g144,0,2,9,0,0,12,0,15,0,20,0,0,0,0,0,4,0,0,4
ahya_s0003.g153,1476,1013,345,1327,1990,3360,1465,1935,443,3075,1862,2140,1114,1939,587,840,443,1148,1123
ahya_s0003.g154,1354,928,355,3214,1108,1757,1258,1815,490,1932,1786,2009,1731,1763,686,4047,243,1344,2499
ahya_s0003.g160,1377,398,615,2446,1021,1321,1195,3628,272,1044,557,2923,4791,752,1013,2780,147,713,1132
ahya_s0003.g178,0,16,0,16,33,31,2,12,0,20,0,25,12,8,0,17,0,20,14
ahya_s0003.g179,5182,1888,821,5042,4248,4033,4728,3187,933,3363,512,2663,5169,3190,1286,4130,1564,3428,3695
ahya_s0003.g194,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
ahya_s0003.g197,0,0,0,0,9,48,17,25,0,109,0,20,0,0,0,0,0,9,0
ahya_s0003.g208,491,447,193,673,653,958,855,1234,225,727,203,1314,2586,940,334,1412,240,828,843
ahya_s0003.g224,0,15,0,39,6,12,14,24,0,23,0,4,0,6,11,15,0,24,40
ahya_s0003.g228,2926,1679,1059,4851,2112,2885,1899,3748,706,2651,3487,3788,3417,2845,1130,5511,647,2296,3964
ahya_s0003.g236,453,280,160,457,544,482,442,352,369,458,129,318,490,282,146,280,316,326,304
ahya_s0003.g238,0,0,0,0,1719,15,455,0,0,0,0,0,8,121,0,93,83,604,427
ahya_s0003.g239,0,14,0,10,56,31,10,0,0,37,0,16,0,48,0,49,0,61,17
ahya_s0003.g243,24,4,12,14,7,61,3,30,0,46,73,26,128,67,69,116,0,23,54
ahya_s0003.g246,137,302,56,741,258,498,268,420,60,548,0,425,729,597,45,481,215,433,414
ahya_s0003.g249,108,95,38,136,138,170,93,107,0,234,0,93,217,203,19,243,33,104,78
ahya_s0003.g261,721,492,210,1249,572,878,571,1071,43,726,132,990,1069,887,240,917,73,696,872
ahya_s0003.g267,3537,1967,1212,8809,2879,4465,2169,5389,724,3857,377,6264,4656,3498,1014,7157,697,2969,6733
ahya_s0003.g273,259,143,61,200,162,261,159,46,25,218,146,115,38,213,219,113,0,197,177
ahya_s0003.g274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ahya_s0003.g276,0,3,3,0,0,34,4,0,0,64,0,0,25,1,0,0,0,36,36
ahya_s0003.g277,0,4,0,0,0,0,0,0,0,0,0,0,0,3,9,4,14,13,9
ahya_s0003.g278,0,4,0,0,0,16,0,5,0,22,0,0,9,1,0,0,0,14,10
ahya_s0003.g284,3009,1166,790,2920,1704,2321,1824,2069,637,2188,664,2104,4625,3545,1299,4679,468,1678,2050
ahya_s0003.g305,927,823,268,1666,724,1394,536,1134,134,1487,431,1330,1196,1673,375,1879,164,1090,1403
ahya_s0003.g311,1781,688,1138,2064,1240,1500,1287,1709,453,1254,793,1207,1074,964,814,1141,357,946,1101
ahya_s0003.g312,0,0,0,2,0,2,0,1,0,0,0,1,0,0,0,0,0,1,1
